1. Selon vous, quels sont les principaux enjeux du logement dans la MEL ? (3 réponses maximum);2. Selon vous, quels sont les principaux freins pour trouver un logement à louer dans la MEL ? (2 réponses maximum);3. Selon vous, quels sont les principaux freins pour acheter un logement dans la MEL ? (2 réponses maximum);4. Selon vous, quels sont les principaux freins pour réaliser des travaux de rénovation ? (2 réponses maximum);5. Selon vous, pourquoi souhaite-t-on habiter dans la MEL ?;6. Identifiez-vous la MEL comme un acteur du logement ?;7. Connaissez-vous la Maison de l'Habitat durable ?;8. Avez-vous déjà visité la Maison de l'Habitat durable ?;9. Connaissez-vous les aides de l'Agence Nationale de l'Habitat (Anah) et de la MEL pour la rénovation des logements privés ?;10. Si oui, par quel biais avez-vous été informé de l'existence de ces aides ?;11. Les avez-vous mobilisées dans le cadre d'un projet de rénovation ?;12. Auprès de qui vous adresseriez-vous pour faire une demande de logement social dans la métropole ?;13. Avez-vous déjà fait une demande de logement social sur le territoire métropolitain ?;14. Qu'attendriez-vous de la MEL pour vous aider à trouver un logement ? (2 réponses maximum);15. Qu'attendriez-vous de la MEL pour faciliter l'accession à la propriété ?;16. Qu'attendriez-vous de la MEL pour vous aider dans vos travaux de rénovation ? (3 réponses maximum);17. Quel est votre âge ?;18. Quelle est votre situation professionnelle ?;19. Dans quelle commune, habitez-vous ?;20. Dans quel type de logement habitez-vous actuellement ?;21. Quelle est votre situation au regard de ce logement ?;22. Qui vit avec vous dans votre logement ?
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,adapter les logements au vieillissement;des garanties financières trop sélectives,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,la crainte que les travaux se passent mal;;Oui;Non;Non;Oui;bouche à oreille;Non;la MEL;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);18-24 ans;étudiant;roubaix;individuel;locataire d'un logement privé;autre
améliorer la mixité sociale,mieux réguler les prix et loyers du marché,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des garanties financières trop sélectives;des prix trop élevés dans les quartiers souhaités;trouver de l'aide,un conseil adapté,la crainte que les travaux se passent mal;Attractivité du territoire en termes de culture, loisirs, proximité du lieu de travail;Oui;Oui;Oui;Oui;autre;Non;un bailleur social;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,un forum d'échanges entre habitants,des tutoriels vidéos pour les travaux;25-35 ans;emploi salarié;La Madeleine;collectif;locataire d'un logement privé;je vis seul sans enfant
construire plus de logements,rénover l'habitat dégradé,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;trouver une entreprise qualifiée,trouver de l'aide,un conseil adapté;métropole attractive, bcp de services culturels, loisirs, ...;Oui;Oui;Non;Oui;journaux locaux (ville, MEL);Oui;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un recueil numérique de bonnes pratiques,témoignages d'habitants,un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);50-64 ans;emploi salarié;Lille;individuel;propriétaire occupant;je vis en couple avec enfant(s)
améliorer la mixité sociale,mieux organiser l'accueil des étudiants dans la MEL,résorber les bidonvilles;ne se prononce pas;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);la crainte que les travaux se passent mal;Activité économique, proximité au lieu de travail, activité culturelle.;Non;Oui;Oui;Oui;internet;Non;votre mairie;Non;un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);25-35 ans;emploi salarié;Lille;collectif;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,rénover l'habitat dégradé,mieux organiser l'accueil des étudiants dans la MEL;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;des difficultés de financement,un dispositif d'aides trop complexe;Pour son réseau urbain;Non;Oui;Non;Non;;Oui;votre mairie;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);35-49 ans;emploi salarié;Croix;individuel;propriétaire occupant;je vis en couple avec enfant(s)
mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement,mieux organiser l'accueil des étudiants dans la MEL;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités;des difficultés de financement,un dispositif d'aides trop complexe;Jaime lille;Oui;Non;Non;Oui;bouche à oreille;Non;"le groupe ""Action logement""";Oui;un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;un service de mise en relation avec les entreprises qualifiées,des tutoriels vidéos pour les travaux,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);35-49 ans;emploi salarié;Loos;individuel;locataire d'un logement social;je vis seul avec enfant(s)
mieux réguler les prix et loyers du marché,améliorer l'habitat existant sur le plan énergétique,faciliter l'accès des jeunes au logement;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;ne se prononce pas;Richesse culturelle;Non;Non;Non;Non;;Non;"le groupe ""Action logement""";Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un meilleur conseil pour obtenir un logement social;un accompagnement pour étudier les financements possibles;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un recueil numérique de bonnes pratiques,témoignages d'habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.);18-24 ans;étudiant;Lille;collectif;locataire d'un logement social;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement,améliorer l'attribution des logements sociaux;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités;ne se prononce pas;Grande métropole;Oui;Oui;Non;Non;;Non;un bailleur social,votre mairie;Non;un meilleur conseil pour obtenir un logement social;une meilleure information sur les projets d'accession à prix abordable;un forum d'échanges entre habitants,un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire);25-35 ans;étudiant;Valenciennes;collectif;locataire d'un logement social;je vis en couple sans enfant
résorber les bidonvilles,autre;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des biens vétustes nécessitant trop de travaux,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);autre;"Localisation de Lille en Europe
Rapports sociaux agréables
Rapport qualité-prix correct de la vie au quotidien";Oui;Non;Non;Non;;;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;autre;50-64 ans;sans emploi;Lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
mieux réguler les prix et loyers du marché;des logements de trop faible qualité;peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,trouver une entreprise qualifiée;;Non;Non;Non;Non;ne se prononce pas;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées;;étudiant;roubaix;individuel;locataire d'un logement social;je vis seul sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique,résorber les bidonvilles;des logements de trop faible qualité,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des prix trop élevés dans les quartiers souhaités,des biens vétustes nécessitant trop de travaux;ne se prononce pas;Pour le travail, dynamisme et éviter les bouchons.;Oui;Oui;Non;Non;;Non;un bailleur social;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,des ateliers de formation pour acquérir des savoirs faire de base pour les travaux;25-35 ans;emploi salarié;Lille;collectif;locataire d'un logement privé;je vis en couple sans enfant
mieux réguler les prix et loyers du marché,faciliter l'accès des jeunes au logement,résorber les bidonvilles;des montants de loyers trop élevés dans les quartiers souhaités,des logements de trop faible qualité;des prix trop élevés dans les quartiers souhaités;un dispositif d'aides trop complexe;Pour être à proximité de son travail, des commodités, des transports publics et de la vie culturelle.;Oui;Oui;Oui;Non;autre;Non;un bailleur social;Non;autre;un accompagnement pour étudier les financements possibles;un accompagnement pas à pas pour votre projet (administratif,technique,financier,etc.),un service d'aide pour trouver des prêts travaux adaptés (courtage bancaire),un préfinancement des travaux;25-35 ans;emploi salarié;La Madeleine (bordure de Lille);collectif;locataire d'un logement privé;je vis en couple sans enfant
rénover l'habitat dégradé,améliorer l'habitat existant sur le plan énergétique;des montants de loyers trop élevés dans les quartiers souhaités;des prix trop élevés dans les quartiers souhaités,peu de biens adaptés à mes besoins (nombre de pièces,accessibilité du logement au handicap,etc.);des difficultés de financement,un dispositif d'aides trop complexe;"dynamisme
qualité de vie";Non;Non;Non;Oui;internet;Oui;votre mairie;Non;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),autre;autre;des ateliers de formation pour acquérir des savoirs faire de base pour les travaux,un forum d'échanges entre habitants,un préfinancement des travaux;25-35 ans;emploi salarié;Wasquehal;individuel;propriétaire occupant;je vis en couple sans enfant
rénover l'habitat dégradé,autre;autre,ne se prononce pas;des biens vétustes nécessitant trop de travaux,autre;des difficultés de financement,trouver une entreprise qualifiée;Parce qu'on est originaire de la région,ou encore pour des raisons professionnelles, ou bien les deux raisons.;Oui;Oui;Non;Non;autre;Non;la MEL;Oui;un lieu d'information pour vous aider dans vos démarches (aides,financement,etc.),un accompagnement pour les groupes d'habitants ayant un projet logement en commun (habitat participatif);une meilleure information sur les projets d'accession à prix abordable;un service de mise en relation avec les entreprises qualifiées,autre;35-49 ans;sans emploi;Lomme;individuel;propriétaire occupant;je vis en couple avec enfant(s)
